ID,smiles,adsorption_energy
0,P([O-])(=O)(OCCC(C)C)OCCC(C)C,129.60184
1,P([O-])(=O)(OCCCCC)OCCCCC,121.49923
2,P([O-])(=O)(OCCC(C)(C)C)OCCC(C)(C)C,138.90303
3,P([O-])(=O)(OCCCCCC)OCCCCCC,132.83299
4,P([O-])(=O)(OCCCC(C)C)OCCCC(C)C,138.51367
5,P([O-])(=O)(OCCCCC(C)C)OCCCCC(C)C,140.19781
6,P([O-])(=O)(OCCCC(C)(C)C)OCCCC(C)(C)C,166.73077
7,P([O-])(=O)(OCCC(C)C(C)C)OCCC(C)C(C)C,164.21206
8,P([O-])(=O)(OCCCC(C)CC)OCCCC(C)CC,139.43072
9,P([O-])(=O)(OCCCCCCC)OCCCCCCC,143.69675
10,P([O-])(=O)(OCCC(C)C(C)(C)C)OCCC(C)C(C)(C)C,198.92865
11,P([O-])(=O)(OCCCC(C)C(C)C)OCCCC(C)C(C)C,174.89814
12,P([O-])(=O)(OCCCC(CC)CC)OCCCC(CC)CC,150.08138
13,P([O-])(=O)(OCCCCCC(C)C)OCCCCCC(C)C,153.17568
14,P([O-])(=O)(OCCCCC(C)CC)OCCCCC(C)CC,152.99114
15,P([O-])(=O)(OCCC(C)CC(C)C)OCCC(C)CC(C)C,179.73234
16,P([O-])(=O)(OCCCCC(C)(C)C)OCCCCC(C)(C)C,176.34722
17,P([O-])(=O)(OCCCC(C)(C)CC)OCCCC(C)(C)CC,182.17345
18,P([O-])(=O)(OCCCCCCCC)OCCCCCCCC,152.21892
19,P([O-])(=O)(OCCC(C)(C)C(C)(C)C)OCCC(C)(C)C(C)(C)C,198.60907
20,P([O-])(=O)(OCCCCCC(C)CC)OCCCCCC(C)CC,170.39272
21,P([O-])(=O)(OCCC(C)CCC(C)C)OCCC(C)CCC(C)C,202.10334
22,P([O-])(=O)(OCCCCC(C)C(C)C)OCCCCC(C)C(C)C,205.61418
23,P([O-])(=O)(OCCCC(CC)C(C)C)OCCCC(CC)C(C)C,204.50419
24,P([O-])(=O)(OCCCCCCCCC)OCCCCCCCCC,149.84938
25,P([O-])(=O)(OCCCCC(CC)CC)OCCCCC(CC)CC,184.00148
26,P([O-])(=O)(OCCCC(C)C(C)CC)OCCCC(C)C(C)CC,197.98438
27,P([O-])(=O)(OCCCCC(C)(C)CC)OCCCCC(C)(C)CC,199.82648
28,P([O-])(=O)(OCCCC(C)(C)C(C)C)OCCCC(C)(C)C(C)C,193.39295
29,P([O-])(=O)(OCCCC(C)CC(C)C)OCCCC(C)CC(C)C,204.93968
30,P([O-])(=O)(OCCCCCCC(C)C)OCCCCCCC(C)C,185.31883
31,P([O-])(=O)(OCCCC(C)(CC)CC)OCCCC(C)(CC)CC,202.34067
32,P([O-])(=O)(OCCC(C)CC(C)(C)C)OCCC(C)CC(C)(C)C,207.55509
33,P([O-])(=O)(OCCCCCC(C)(C)C)OCCCCCC(C)(C)C,203.67502
34,P([O-])(=O)(OCCCCC(C)CCC)OCCCCC(C)CCC,185.861
35,P([O-])(=O)(OCCCC(C)C(C)(C)C)OCCCC(C)C(C)(C)C,206.09237
36,P([O-])(=O)(OCCC(C)C(C)C(C)C)OCCC(C)C(C)C(C)C,217.34799
37,P([O-])(=O)(OCCCCCCC(C)CC)OCCCCCCC(C)CC,201.78257
38,P([O-])(=O)(OCCCCCC(CC)CC)OCCCCCC(CC)CC,204.45233
39,P([O-])(=O)(OCCCC(C)CC(C)CC)OCCCC(C)CC(C)CC,212.10785
40,P([O-])(=O)(OCCCCC(CC)CCC)OCCCCC(CC)CCC,208.44792
41,P([O-])(=O)(OCCCC(CC)CC(C)C)OCCCC(CC)CC(C)C,206.8742
42,P([O-])(=O)(OCCCCC(C)C(C)CC)OCCCCC(C)C(C)CC,202.80456
43,P([O-])(=O)(OCCCCCC(C)(C)CC)OCCCCCC(C)(C)CC,203.93677
44,P([O-])(=O)(OCCCCCC(C)CCC)OCCCCCC(C)CCC,201.47592
45,P([O-])(=O)(OCCCCC(C)CC(C)C)OCCCCC(C)CC(C)C,202.86767
46,P([O-])(=O)(OCCCC(CC)C(C)(C)C)OCCCC(CC)C(C)(C)C,212.07811
47,P([O-])(=O)(OCCC(C)CCCC(C)C)OCCC(C)CCCC(C)C,209.68239
48,P([O-])(=O)(OCCCCC(C)(CC)CC)OCCCCC(C)(CC)CC,204.63011
49,P([O-])(=O)(OCCC(C)CC(C)C(C)C)OCCC(C)CC(C)C(C)C,214.17473
50,P([O-])(=O)(OCCCCC(C)C(C)(C)C)OCCCCC(C)C(C)(C)C,218.60619
51,P([O-])(=O)(OCCCC(C)(C)CC(C)C)OCCCC(C)(C)CC(C)C,211.44038
52,P([O-])(=O)(OCCCCC(C)(C)CCC)OCCCCC(C)(C)CCC,201.59058
53,P([O-])(=O)(OCCC(C)C(C)C(C)(C)C)OCCC(C)C(C)C(C)(C)C,212.18202
54,P([O-])(=O)(OCCCC(C)C(C)(C)CC)OCCCC(C)C(C)(C)CC,211.17133
55,P([O-])(=O)(OCCC(C)C(C)(C)C(C)C)OCCC(C)C(C)(C)C(C)C,226.21356
56,P([O-])(=O)(OCCCC(CC)(CC)CC)OCCCC(CC)(CC)CC,208.25208
57,P([O-])(=O)(OCCCCCCC(C)(C)C)OCCCCCCC(C)(C)C,205.13514
58,P([O-])(=O)(OCCCCCCCCCC)OCCCCCCCCCC,178.40069
59,P([O-])(=O)(OCCCC(C(C)C)C(C)C)OCCCC(C(C)C)C(C)C,215.6151
60,P([O-])(=O)(OCCCCCC(C)C(C)C)OCCCCCC(C)C(C)C,205.08006
61,P([O-])(=O)(OCCCC(C)CC(C)(C)C)OCCCC(C)CC(C)(C)C,213.859
62,P([O-])(=O)(OCCCC(C)(C)C(C)(C)C)OCCCC(C)(C)C(C)(C)C,224.67814
63,P([O-])(=O)(OCCCC(C)C(CC)CC)OCCCC(C)C(CC)CC,204.10765
64,P([O-])(=O)(OCCCCCCCC(C)C)OCCCCCCCC(C)C,209.19142
65,P([O-])(=O)(OCCCC(C)C(C)C(C)C)OCCCC(C)C(C)C(C)C,213.12413
66,P([O-])(=O)(OCCCCC(C)(C)C(C)C)OCCCCC(C)(C)C(C)C,211.84546
67,P([O-])(=O)(OCCCC(C)(CC)C(C)C)OCCCC(C)(CC)C(C)C,215.30414
68,P([O-])(=O)(OCCCCC(CC)C(C)C)OCCCCC(CC)C(C)C,207.86733
69,P([O-])(=O)(OCCCC(C)CCC(C)C)OCCCC(C)CCC(C)C,202.47989
70,P([O-])(=O)(OCCC(C)(C)CC(C)(C)C)OCCC(C)(C)CC(C)(C)C,213.48959
71,P([O-])(=O)(OCCC(C)CCC(C)(C)C)OCCC(C)CCC(C)(C)C,215.294
72,P([O-])(=O)(OCCCCCCC(C)C(C)C)OCCCCCCC(C)C(C)C,216.0176
73,P([O-])(=O)(OCCCCCCC(C)(C)CC)OCCCCCCC(C)(C)CC,218.10023
74,P([O-])(=O)(OCCCC(C)CCC(C)CC)OCCCC(C)CCC(C)CC,213.04083
75,P([O-])(=O)(OCCCCCC(C)CC(C)C)OCCCCCC(C)CC(C)C,217.5438
76,P([O-])(=O)(OCCC(C)C(C)CC(C)(C)C)OCCC(C)C(C)CC(C)(C)C,237.17279
77,P([O-])(=O)(OCCCCCC(C)(C)C(C)C)OCCCCCC(C)(C)C(C)C,229.60493
78,P([O-])(=O)(OCCCCC(C)C(C)CCC)OCCCCC(C)C(C)CCC,214.20349
79,P([O-])(=O)(OCCCC(C)(C)CCC(C)C)OCCCC(C)(C)CCC(C)C,222.81419
80,P([O-])(=O)(OCCCC(CC)C(C)C(C)C)OCCCC(CC)C(C)C(C)C,227.41113
81,P([O-])(=O)(OCCCC(C)CCC(C)(C)C)OCCCC(C)CCC(C)(C)C,221.3551
82,P([O-])(=O)(OCCCCCC(C)(C)CCC)OCCCCCC(C)(C)CCC,217.79737
83,P([O-])(=O)(OCCCC(CC)CCC(C)C)OCCCC(CC)CCC(C)C,218.68566
84,P([O-])(=O)(OCCCCCC(C)(CC)CC)OCCCCCC(C)(CC)CC,215.76708
85,P([O-])(=O)(OCCCCCCCC(C)(C)C)OCCCCCCCC(C)(C)C,212.15595
86,P([O-])(=O)(OCCCC(C(C)C)C(C)(C)C)OCCCC(C(C)C)C(C)(C)C,235.48659
87,P([O-])(=O)(OCCCCCC(CC)C(C)C)OCCCCCC(CC)C(C)C,209.03418
88,P([O-])(=O)(OCCC(C)CC(C)C(C)(C)C)OCCC(C)CC(C)C(C)(C)C,235.51233
89,P([O-])(=O)(OCCCC(C)C(CC)C(C)C)OCCCC(C)C(CC)C(C)C,221.29431
90,P([O-])(=O)(OCCCCC(C)(C)CC(C)C)OCCCCC(C)(C)CC(C)C,227.95643
91,P([O-])(=O)(OCCCC(CC(C)C)C(C)C)OCCCC(CC(C)C)C(C)C,222.41979
92,P([O-])(=O)(OCCCC(C)C(C)C(C)(C)C)OCCCC(C)C(C)C(C)(C)C,235.50793
93,P([O-])(=O)(OCCC(C)C(C(C)C)C(C)C)OCCC(C)C(C(C)C)C(C)C,234.40853
94,P([O-])(=O)(OCCCCC(CC)(CC)CC)OCCCCC(CC)(CC)CC,209.20355
95,P([O-])(=O)(OCCCCCCCCC(C)C)OCCCCCCCCC(C)C,204.9133
96,P([O-])(=O)(OCCCC(C)(CC)CC(C)C)OCCCC(C)(CC)CC(C)C,231.24662
97,P([O-])(=O)(OCCC(C)C(C)C(C)C(C)C)OCCC(C)C(C)C(C)C(C)C,237.66419
98,P([O-])(=O)(OCCCCCC(C)CCCC)OCCCCCC(C)CCCC,204.62759
99,P([O-])(=O)(OCCCC(C)C(C)C(C)CC)OCCCC(C)C(C)C(C)CC,223.45593
100,P([O-])(=O)(OCCCCCC(CC)CCC)OCCCCCC(CC)CCC,210.91508
101,P([O-])(=O)(OCCC(C)CC(C)CC(C)C)OCCC(C)CC(C)CC(C)C,237.51313
102,P([O-])(=O)(OCCCCC(C(C)C)C(C)C)OCCCCC(C(C)C)C(C)C,232.36105
103,P([O-])(=O)(OCCCC(CC)CC(C)(C)C)OCCCC(CC)CC(C)(C)C,231.76557
104,P([O-])(=O)(OCCC(C)(C)CCC(C)(C)C)OCCC(C)(C)CCC(C)(C)C,237.97065
105,P([O-])(=O)(OCCCCC(C)(C)C(C)(C)C)OCCCCC(C)(C)C(C)(C)C,231.19352
106,P([O-])(=O)(OCCCCCCCC(C)CC)OCCCCCCCC(C)CC,207.78133
107,P([O-])(=O)(OCCCCC(C)C(C)(C)CC)OCCCCC(C)C(C)(C)CC,226.40878
108,P([O-])(=O)(OCCCC(CC)C(C)(C)CC)OCCCC(CC)C(C)(C)CC,220.41561
109,P([O-])(=O)(OCCCC(C)(C)C(C)C(C)C)OCCCC(C)(C)C(C)C(C)C,238.95257
110,P([O-])(=O)(OCCCCCCCCCCC)OCCCCCCCCCCC,204.52269
111,P([O-])(=O)(OCCCC(CC)C(CC)CC)OCCCC(CC)C(CC)CC,216.48524
112,P([O-])(=O)(OCCCC(C)C(C)CC(C)C)OCCCC(C)C(C)CC(C)C,223.65789
113,P([O-])(=O)(OCCCCC(C)(CC)CCC)OCCCCC(C)(CC)CCC,214.19521
114,P([O-])(=O)(OCCCCC(CCC)C(C)C)OCCCCC(CCC)C(C)C,212.72613
115,P([O-])(=O)(OCCCC(C)CC(C)(C)CC)OCCCC(C)CC(C)(C)CC,222.69953
116,P([O-])(=O)(OCCCCC(C)CC(C)CC)OCCCCC(C)CC(C)CC,218.88245
117,P([O-])(=O)(OCCCC(C)(C)C(C)(C)CC)OCCCC(C)(C)C(C)(C)CC,239.08599
118,P([O-])(=O)(OCCCC(C)CCCC(C)C)OCCCC(C)CCCC(C)C,213.53834
119,P([O-])(=O)(OCCC(C(C)(C)C)C(C)(C)C)OCCC(C(C)(C)C)C(C)(C)C,244.6671
120,P([O-])(=O)(OCCCCCCC(C)CCC)OCCCCCCC(C)CCC,209.60807
121,P([O-])(=O)(OCCCCCCC(CC)CC)OCCCCCCC(CC)CC,212.11232
122,P([O-])(=O)(OCCCCC(C)CCC(C)C)OCCCCC(C)CCC(C)C,220.79536
123,P([O-])(=O)(OCCC(C)CC(C)(C)C(C)C)OCCC(C)CC(C)(C)C(C)C,232.44657
124,P([O-])(=O)(OCCCC(C)(C)CC(C)(C)C)OCCCC(C)(C)CC(C)(C)C,235.65581
125,P([O-])(=O)(OCCCC(C)C(C)(C)C(C)C)OCCCC(C)C(C)(C)C(C)C,236.00096
126,P([O-])(=O)(OCCCCC(CCC)CCC)OCCCCC(CCC)CCC,208.29407
127,P([O-])(=O)(OCCC(C)C(C)(C)C(C)(C)C)OCCC(C)C(C)(C)C(C)(C)C,242.53529
128,P([O-])(=O)(OCCCCC(C)CC(C)(C)C)OCCCCC(C)CC(C)(C)C,228.46254
129,P([O-])(=O)(OCCCCC(CC)C(C)CC)OCCCCC(CC)C(C)CC,217.8249
130,P([O-])(=O)(OCCCC(C)(CC)C(C)(C)C)OCCCC(C)(CC)C(C)(C)C,233.98577
131,P([O-])(=O)(OCCCCC(C)(C)C(C)CC)OCCCCC(C)(C)C(C)CC,224.22247
132,P([O-])(=O)(OCCCC(C)(C(C)C)C(C)C)OCCCC(C)(C(C)C)C(C)C,232.81054
133,P([O-])(=O)(OCCCCCC(C)C(C)(C)C)OCCCCCC(C)C(C)(C)C,225.19034
134,P([O-])(=O)(OCCCC(CC)(CC)C(C)C)OCCCC(CC)(CC)C(C)C,222.29751
135,P([O-])(=O)(OCCCCC(C)C(C)C(C)C)OCCCCC(C)C(C)C(C)C,221.29508
136,P([O-])(=O)(OCCCCC(C)(CC)C(C)C)OCCCCC(C)(CC)C(C)C,224.61934
137,P([O-])(=O)(OCCCC(C)CC(CC)CC)OCCCC(C)CC(CC)CC,213.10882
138,P([O-])(=O)(OCCCCCC(C)C(C)CC)OCCCCCC(C)C(C)CC,211.19718
139,P([O-])(=O)(OCCCCC(CC)CC(C)C)OCCCCC(CC)CC(C)C,212.66464
140,P([O-])(=O)(OCCC(C)CCCCC(C)C)OCCC(C)CCCCC(C)C,216.14547
141,P([O-])(=O)(OCCCC(C)CC(C)C(C)C)OCCCC(C)CC(C)C(C)C,224.94783
142,P([O-])(=O)(OCCC(C)CCC(C)C(C)C)OCCC(C)CCC(C)C(C)C,226.46698
143,P([O-])(=O)(OCCCCC(CC)C(C)(C)C)OCCCCC(CC)C(C)(C)C,231.0983
144,P([O-])(=O)(OCCCC(C)C(C)(CC)CC)OCCCC(C)C(C)(CC)CC,223.59998
145,P([O-])(=O)(OCCCCC(C)C(CC)CC)OCCCCC(C)C(CC)CC,211.16796
146,P([O-])(=O)(OCCC(C)CCCC(C)(C)C)OCCC(C)CCCC(C)(C)C,225.1079
147,P([O-])(=O)(OCCCC(C)C(C)CCC(C)C)OCCCC(C)C(C)CCC(C)C,231.90768
148,P([O-])(=O)(OCCCCC(C)(C)CC(C)(C)C)OCCCCC(C)(C)CC(C)(C)C,237.61204
149,P([O-])(=O)(OCCCCCC(C)C(C)C(C)C)OCCCCCC(C)C(C)C(C)C,231.81081
150,P([O-])(=O)(OCCCCCCC(C)(CC)CC)OCCCCCCC(C)(CC)CC,222.94045
151,P([O-])(=O)(OCCC(C)CC(C(C)C)C(C)C)OCCC(C)CC(C(C)C)C(C)C,241.09173
152,P([O-])(=O)(OCCCC(C)CC(C)(C)C(C)C)OCCCC(C)CC(C)(C)C(C)C,243.76925
153,P([O-])(=O)(OCCCCCCC(CC)CCC)OCCCCCCC(CC)CCC,214.34172
154,P([O-])(=O)(OCCCCCC(C)(C)C(C)(C)C)OCCCCCC(C)(C)C(C)(C)C,239.44596
155,P([O-])(=O)(OCCCCCCC(C)C(C)CC)OCCCCCCC(C)C(C)CC,227.27064
156,P([O-])(=O)(OCCCC(C)(C)C(C)(CC)CC)OCCCC(C)(C)C(C)(CC)CC,237.40913
157,P([O-])(=O)(OCCCCC(CC)C(C)(C)CC)OCCCCC(CC)C(C)(C)CC,226.55725
158,P([O-])(=O)(OCCCCCC(C)CC(C)CC)OCCCCCC(C)CC(C)CC,226.36713
159,P([O-])(=O)(OCCCC(C)CCC(CC)CC)OCCCC(C)CCC(CC)CC,219.8637
160,P([O-])(=O)(OCCCCC(CC(C)C)C(C)C)OCCCCC(CC(C)C)C(C)C,229.02178
161,P([O-])(=O)(OCCC(C)C(C)(C(C)C)C(C)C)OCCC(C)C(C)(C(C)C)C(C)C,254.74637
